epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13422.1,0.44216,0.6766,1.046,0.79896,0.91183,0.93506,0.86715,0.39921,0.62828,1.023,0.000848969,0.000848969,0.000848969
43,13794.4,0.42417,0.69135,1.02513,0.70306,0.86095,0.8873,0.80189,0.37365,0.78621,1.0191,0.000834822,0.000834822,0.000834822
44,14152.7,0.43097,0.66601,1.02886,0.82944,0.93868,0.93976,0.88508,0.34391,0.56923,0.98847,0.000820675,0.000820675,0.000820675
45,14515,0.42123,0.66882,1.03933,0.8595,0.84626,0.91318,0.83694,0.37081,0.6547,1.00365,0.000806528,0.000806528,0.000806528
46,14884.9,0.42017,0.63909,1.03635,0.82208,0.8488,0.91333,0.85079,0.36765,0.68886,1.00025,0.00079238,0.00079238,0.00079238
47,15281.4,0.428,0.64383,1.05079,0.89364,0.89463,0.95272,0.88706,0.37668,0.53771,1.02663,0.000778233,0.000778233,0.000778233
48,15651.4,0.43103,0.64741,1.02832,0.89971,0.91531,0.95259,0.88078,0.35737,0.51103,0.99449,0.000764086,0.000764086,0.000764086
49,16033.8,0.40677,0.57783,1.01773,0.74273,0.89408,0.9025,0.82799,0.38514,0.71381,0.99992,0.000749939,0.000749939,0.000749939
50,16413.8,0.39966,0.61556,1.03147,0.88444,0.86529,0.94546,0.8728,0.37465,0.52938,0.98293,0.000735792,0.000735792,0.000735792
51,16788.2,0.41429,0.6186,1.02595,0.85522,0.94799,0.96832,0.9054,0.37104,0.46549,0.99739,0.000721645,0.000721645,0.000721645
52,17173.5,0.41423,0.61022,1.01017,0.90344,0.90202,0.96517,0.88572,0.36144,0.45586,0.97828,0.000707498,0.000707498,0.000707498
53,17543.4,0.43624,0.5976,1.03206,0.92908,0.87761,0.96083,0.87988,0.38101,0.57123,1.01785,0.000693351,0.000693351,0.000693351
54,17944.1,0.3994,0.57068,1.01632,0.85988,0.94195,0.95704,0.89384,0.34653,0.46873,0.97337,0.000679204,0.000679204,0.000679204
55,18317.2,0.40309,0.58558,1.01157,0.91743,0.93793,0.95937,0.89252,0.35246,0.4762,0.97424,0.000665057,0.000665057,0.000665057
56,18670.8,0.38703,0.63233,1.00005,0.91982,0.8632,0.9401,0.88311,0.32343,0.55506,0.9618,0.000650909,0.000650909,0.000650909
57,19047.2,0.37541,0.54314,0.99567,0.86946,0.95673,0.96174,0.90081,0.3353,0.4414,0.95796,0.000636762,0.000636762,0.000636762
58,19411.5,0.39779,0.5759,1.02792,0.91129,0.88869,0.96386,0.90025,0.35996,0.45142,0.98892,0.000622615,0.000622615,0.000622615
59,19806.3,0.36664,0.53375,1.00494,0.93637,0.93264,0.97333,0.90407,0.35367,0.42366,0.98153,0.000608468,0.000608468,0.000608468
60,20168.3,0.39402,0.54287,1.00325,0.9083,0.91729,0.95995,0.89727,0.34671,0.46104,0.98384,0.000594321,0.000594321,0.000594321
