epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.664,0.89301,5.26128,1.46926,0.43116,0.5787,0.45187,0.31192,0.93192,6.5344,1.80735,0.000475349,0.000475349,0.000475349
2,433.162,0.92086,3.81975,1.47433,0.37579,0.68013,0.50423,0.36124,0.91081,4.40783,1.63276,0.000949327,0.000949327,0.000949327
3,662.082,0.85987,2.793,1.38509,0.45993,0.79177,0.57328,0.40638,0.88636,3.11333,1.60678,0.00142095,0.00142095,0.00142095
4,903.261,0.81867,2.19087,1.34347,0.35981,0.72597,0.49667,0.28489,1.11364,2.93069,1.79095,0.00141839,0.00141839,0.00141839
5,1167.33,0.82107,1.79463,1.31793,0.48503,0.8426,0.61921,0.4435,0.85092,2.68724,1.4988,0.00141485,0.00141485,0.00141485
6,1445.68,0.76674,1.5758,1.29092,0.48929,0.80485,0.66281,0.48219,0.77025,2.04248,1.42192,0.00141132,0.00141132,0.00141132
7,1723.54,0.76149,1.49591,1.26795,0.5211,0.74362,0.66805,0.51312,0.7343,1.43853,1.38399,0.00140778,0.00140778,0.00140778
8,2008.81,0.76544,1.38004,1.27553,0.48567,0.87354,0.70798,0.55985,0.69438,1.34162,1.29492,0.00140424,0.00140424,0.00140424
9,2281.38,0.72987,1.3021,1.26308,0.44612,0.87272,0.6237,0.49615,0.70396,1.33816,1.30232,0.00140071,0.00140071,0.00140071
10,2570.85,0.6574,1.24471,1.19269,0.51825,0.86588,0.68221,0.56641,0.65507,1.25511,1.30777,0.00139717,0.00139717,0.00139717
11,2902.56,0.63914,1.22719,1.19216,0.55167,0.81657,0.75997,0.61966,0.64812,1.1934,1.26342,0.00139363,0.00139363,0.00139363
12,3216.68,0.65483,1.17594,1.19653,0.60619,0.75089,0.72414,0.60697,0.60027,1.11325,1.19841,0.0013901,0.0013901,0.0013901
13,3546.77,0.63572,1.16827,1.17867,0.56599,0.75369,0.64945,0.53466,0.58613,1.24977,1.24544,0.00138656,0.00138656,0.00138656
14,3849.6,0.64126,1.11324,1.18329,0.4271,0.72485,0.58582,0.45806,0.65494,1.55043,1.2587,0.00138302,0.00138302,0.00138302
15,4162.75,0.61615,1.13149,1.17119,0.57828,0.81576,0.71778,0.60496,0.5424,1.16038,1.20451,0.00137949,0.00137949,0.00137949
16,4456.83,0.60598,1.0609,1.16222,0.58407,0.86545,0.771,0.62973,0.61466,1.1155,1.20616,0.00137595,0.00137595,0.00137595
17,4759.04,0.5849,1.07344,1.13705,0.58525,0.8681,0.79226,0.59488,0.77162,1.09228,1.35035,0.00137241,0.00137241,0.00137241
18,5080.22,0.55126,1.06165,1.11148,0.54791,0.85535,0.77768,0.6872,0.47277,1.32442,1.14012,0.00136887,0.00136887,0.00136887
19,5392.89,0.58585,1.02192,1.14368,0.59517,0.83232,0.81422,0.70056,0.56738,0.97902,1.1689,0.00136534,0.00136534,0.00136534
