epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65024,0.51541,0.9368,1.10263,0.83176,0.79859,0.89252,0.79694,0.42795,0.75722,1.06755,0.000848969,0.000848969,0.000848969
43,66854.8,0.48392,0.90058,1.07346,0.61469,0.89691,0.81963,0.71727,0.42335,0.84024,1.06357,0.000834822,0.000834822,0.000834822
44,68557.1,0.48619,0.86502,1.07912,0.66872,0.88183,0.81633,0.73236,0.41589,0.82987,1.06166,0.000820675,0.000820675,0.000820675
45,70303.1,0.46643,0.90711,1.07548,0.68823,0.89089,0.8401,0.76595,0.40466,0.74164,1.0275,0.000806528,0.000806528,0.000806528
46,72045.5,0.48431,0.91439,1.08266,0.75269,0.84814,0.87543,0.78995,0.40583,0.7278,1.0686,0.00079238,0.00079238,0.00079238
47,73812.4,0.4687,0.8454,1.09808,0.78316,0.87131,0.90746,0.79671,0.49242,0.76014,1.1627,0.000778233,0.000778233,0.000778233
48,75515.4,0.46972,0.85557,1.07542,0.76218,0.89357,0.87602,0.7627,0.42448,0.74768,1.04515,0.000764086,0.000764086,0.000764086
49,77265.8,0.47753,0.89504,1.05838,0.73017,0.86163,0.83878,0.75359,0.42425,0.74666,1.06487,0.000749939,0.000749939,0.000749939
50,79007.7,0.46533,0.85321,1.05016,0.8045,0.86852,0.89331,0.81237,0.38389,0.70123,1.0405,0.000735792,0.000735792,0.000735792
51,80758.1,0.48618,0.85522,1.07373,0.76198,0.8302,0.85126,0.75369,0.46838,0.80247,1.09843,0.000721645,0.000721645,0.000721645
52,82535.9,0.4769,0.83403,1.08497,0.86043,0.84364,0.90989,0.82802,0.38531,0.67198,1.01981,0.000707498,0.000707498,0.000707498
53,84305.2,0.43854,0.7715,1.03389,0.78317,0.82667,0.86921,0.80379,0.39154,0.7124,1.03151,0.000693351,0.000693351,0.000693351
54,86119.2,0.46339,0.83421,1.05232,0.81275,0.86707,0.88328,0.80571,0.40806,0.65397,1.07283,0.000679204,0.000679204,0.000679204
55,87950.6,0.45381,0.83462,1.05114,0.79408,0.85866,0.8689,0.77999,0.40097,0.67447,1.05594,0.000665057,0.000665057,0.000665057
56,89818,0.44631,0.85048,1.04487,0.66282,0.92053,0.85129,0.77948,0.35094,0.79449,1.00399,0.000650909,0.000650909,0.000650909
57,91752,0.43154,0.86833,1.04175,0.70963,0.86265,0.88495,0.80733,0.3784,0.73144,1.00976,0.000636762,0.000636762,0.000636762
58,93716.7,0.47959,0.85555,1.07278,0.69663,0.86253,0.87129,0.79772,0.38205,0.76654,1.01894,0.000622615,0.000622615,0.000622615
59,95684.8,0.45794,0.7931,1.04485,0.8123,0.83524,0.89957,0.82578,0.37082,0.64415,1.02107,0.000608468,0.000608468,0.000608468
60,97648.3,0.43738,0.81148,1.0453,0.80174,0.83733,0.86431,0.80107,0.37261,0.66686,1.00294,0.000594321,0.000594321,0.000594321
61,99641,0.42666,0.84184,1.03136,0.75646,0.92182,0.89965,0.81392,0.37099,0.65759,0.99519,0.000580174,0.000580174,0.000580174
62,101509,0.43129,0.77824,1.02254,0.73952,0.89616,0.89792,0.82381,0.38208,0.70127,1.01332,0.000566027,0.000566027,0.000566027
63,103450,0.4325,0.73528,1.0434,0.69833,0.90164,0.88077,0.81369,0.37176,0.75324,1.01588,0.00055188,0.00055188,0.00055188
64,105432,0.42661,0.72133,1.04623,0.83453,0.90586,0.91947,0.84692,0.35598,0.58809,0.99149,0.000537733,0.000537733,0.000537733
65,107494,0.43332,0.75942,1.04712,0.80749,0.88144,0.91515,0.85083,0.37439,0.61802,1.01418,0.000523586,0.000523586,0.000523586
66,109423,0.4318,0.76061,1.04112,0.80649,0.85152,0.91594,0.82984,0.36639,0.67973,1.00344,0.000509438,0.000509438,0.000509438
67,111379,0.41742,0.70767,1.01903,0.81879,0.90747,0.92067,0.84002,0.36696,0.59375,1.03001,0.000495291,0.000495291,0.000495291
68,113400,0.40984,0.71155,1.03913,0.85526,0.89253,0.93876,0.85964,0.3449,0.59137,0.97711,0.000481144,0.000481144,0.000481144
69,115331,0.41582,0.70009,1.02474,0.8189,0.91447,0.91879,0.84148,0.34447,0.6358,0.97921,0.000466997,0.000466997,0.000466997
70,117388,0.4218,0.6819,1.01816,0.92052,0.90263,0.94399,0.87112,0.35165,0.53512,0.99587,0.00045285,0.00045285,0.00045285
71,119344,0.42926,0.73487,1.03032,0.83859,0.85334,0.9382,0.863,0.35112,0.62061,1.00313,0.000438703,0.000438703,0.000438703
72,121474,0.39487,0.65749,1.00982,0.74699,0.91923,0.90487,0.82796,0.34572,0.70241,0.99752,0.000424556,0.000424556,0.000424556
73,123484,0.40225,0.69226,1.01707,0.93234,0.89737,0.95968,0.87304,0.35667,0.52769,0.96823,0.000410409,0.000410409,0.000410409
74,125338,0.39109,0.68435,0.99683,0.8598,0.91618,0.93216,0.86892,0.35433,0.562,1.00818,0.000396262,0.000396262,0.000396262
75,127519,0.37392,0.63871,0.99854,0.86707,0.90232,0.92472,0.8659,0.34136,0.5314,0.97733,0.000382115,0.000382115,0.000382115
76,129474,0.39904,0.64595,1.02921,0.86887,0.91392,0.93344,0.86696,0.34346,0.54978,0.98641,0.000367967,0.000367967,0.000367967
77,131560,0.38818,0.63919,1.01756,0.87087,0.90582,0.94171,0.85645,0.36779,0.5297,1.01999,0.00035382,0.00035382,0.00035382
78,133537,0.40877,0.65755,1.01863,0.89356,0.84584,0.90163,0.83541,0.34259,0.60065,0.98776,0.000339673,0.000339673,0.000339673
79,135394,0.37289,0.61761,1.00017,0.89447,0.89174,0.93086,0.84807,0.33732,0.59189,0.98565,0.000325526,0.000325526,0.000325526
80,137481,0.36608,0.64103,0.99157,0.85568,0.9089,0.9364,0.86132,0.34547,0.50546,0.976,0.000311379,0.000311379,0.000311379
81,139523,0.38402,0.62062,1.01263,0.81064,0.86943,0.9199,0.8252,0.3459,0.66411,0.99021,0.000297232,0.000297232,0.000297232
82,141495,0.39069,0.61093,1.00579,0.8788,0.9297,0.95924,0.88836,0.3135,0.49276,0.95765,0.000283085,0.000283085,0.000283085
83,143478,0.36945,0.62467,1.00677,0.91658,0.90887,0.95102,0.88313,0.32975,0.4816,0.96973,0.000268938,0.000268938,0.000268938
84,145495,0.36985,0.59904,0.99188,0.81844,0.92283,0.93046,0.86338,0.32408,0.56954,0.97397,0.000254791,0.000254791,0.000254791
85,147472,0.37563,0.6016,1.00717,0.90789,0.92863,0.94973,0.87743,0.33144,0.50836,0.9835,0.000240644,0.000240644,0.000240644
86,149510,0.37088,0.59417,0.99166,0.9035,0.91677,0.94611,0.87958,0.33255,0.5227,0.9859,0.000226497,0.000226497,0.000226497
87,151466,0.34926,0.58381,0.98319,0.884,0.92808,0.9508,0.87915,0.32054,0.47505,0.96797,0.000212349,0.000212349,0.000212349
88,153443,0.34967,0.56494,0.97414,0.91422,0.90626,0.95622,0.8928,0.30073,0.49056,0.94408,0.000198202,0.000198202,0.000198202
89,155432,0.37902,0.58869,1.00009,0.9403,0.91269,0.97423,0.90326,0.32795,0.43327,0.97895,0.000184055,0.000184055,0.000184055
90,157292,0.36314,0.56343,0.99694,0.93664,0.96323,0.97294,0.89621,0.32857,0.42708,0.96842,0.000169908,0.000169908,0.000169908
91,159682,0.35223,0.50321,0.96906,0.88479,0.91007,0.95269,0.89033,0.31223,0.46793,0.96028,0.000155761,0.000155761,0.000155761
92,161872,0.31881,0.43327,0.95197,0.88553,0.88603,0.94636,0.88736,0.31021,0.51275,0.95002,0.000141614,0.000141614,0.000141614
93,164121,0.33314,0.45244,0.94858,0.93241,0.90274,0.96468,0.90927,0.32423,0.45874,0.96306,0.000127467,0.000127467,0.000127467
94,166374,0.32265,0.402,0.95289,0.94602,0.90747,0.973,0.91022,0.30088,0.4062,0.94719,0.00011332,0.00011332,0.00011332
95,168925,0.3299,0.40217,0.94587,0.89046,0.90525,0.96136,0.90669,0.30277,0.43046,0.94672,9.91726e-05,9.91726e-05,9.91726e-05
96,171349,0.33432,0.41181,0.94887,0.94351,0.88626,0.93563,0.88666,0.30401,0.42699,0.9451,8.50255e-05,8.50255e-05,8.50255e-05
97,173874,0.32999,0.40084,0.95087,0.91027,0.94161,0.96851,0.91254,0.30313,0.42573,0.94075,7.08784e-05,7.08784e-05,7.08784e-05
98,176318,0.32421,0.39696,0.94029,0.9509,0.92503,0.9674,0.9136,0.30298,0.40554,0.94048,5.67313e-05,5.67313e-05,5.67313e-05
99,178770,0.32221,0.38291,0.94968,0.91591,0.89461,0.9399,0.88884,0.29357,0.41433,0.93605,4.25842e-05,4.25842e-05,4.25842e-05
100,181271,0.31227,0.37159,0.93418,0.9408,0.84909,0.93466,0.88279,0.29612,0.44823,0.93802,2.84371e-05,2.84371e-05,2.84371e-05
